x,x_dot,sin_theta,cos_theta,theta_dot,control,x(t+1),X_dot(t+1),sin_theta(t+1),cos_theta(t+1),theta_dot(t+1)
-2.96990689,0.16606642,0.36102922,0.9325545,0.38340695,4.85013408,-2.96907656,0.16839204,0.36281629,0.93186068,0.38923208
-2.96907656,0.16839204,0.36281629,0.93186068,0.38923208,4.85749517,-2.9682346,0.17071787,0.36462916,0.93115282,0.3950906
-2.9682346,0.17071787,0.36462916,0.93115282,0.3950906,4.86478781,-2.96738101,0.17304382,0.36646789,0.9304307,0.40098302
-2.96738101,0.17304382,0.36646789,0.9304307,0.40098302,4.87201148,-2.96651579,0.17536983,0.36833259,0.92969409,0.40690987
-2.96651579,0.17536983,0.36833259,0.92969409,0.40690987,4.87916562,-2.96563894,0.1776958,0.37022333,0.92894278,0.41287166
-2.96563894,0.1776958,0.37022333,0.92894278,0.41287166,4.88624961,-2.96475046,0.18002167,0.37214022,0.92817652,0.4188689
-2.96475046,0.18002167,0.37214022,0.92817652,0.4188689,4.89326277,-2.96385035,0.18234736,0.37408332,0.9273951,0.42490213
-2.96385035,0.18234736,0.37408332,0.9273951,0.42490213,4.90020439,-2.96293862,0.18467281,0.37605273,0.92659826,0.43097184
-2.96293862,0.18467281,0.37605273,0.92659826,0.43097184,4.90707369,-2.96201525,0.18699795,0.37804855,0.92578577,0.43707857
-2.96201525,0.18699795,0.37804855,0.92578577,0.43707857,4.91386985,-2.96108026,0.18932272,0.38007085,0.92495738,0.44322284
-2.96108026,0.18932272,0.38007085,0.92495738,0.44322284,4.92059197,-2.96013365,0.19164707,0.38211973,0.92411283,0.44940516
-2.96013365,0.19164707,0.38211973,0.92411283,0.44940516,4.92723913,-2.95917541,0.19397093,0.38419526,0.92325186,0.45562606
-2.95917541,0.19397093,0.38419526,0.92325186,0.45562606,4.93381032,-2.95820556,0.19629426,0.38629755,0.92237422,0.46188605
-2.95820556,0.19629426,0.38629755,0.92237422,0.46188605,4.9403045,-2.95722409,0.19861701,0.38842668,0.92147963,0.46818567
-2.95722409,0.19861701,0.38842668,0.92147963,0.46818567,4.94672056,-2.956231,0.20093915,0.39058273,0.92056783,0.47452543
-2.956231,0.20093915,0.39058273,0.92056783,0.47452543,4.95305735,-2.95522631,0.20326062,0.3927658,0.91963853,0.48090586
-2.95522631,0.20326062,0.3927658,0.91963853,0.48090586,4.95931363,-2.95421,0.20558139,0.39497596,0.91869146,0.48732747
-2.95421,0.20558139,0.39497596,0.91869146,0.48732747,4.96548813,-2.9531821,0.20790145,0.3972133,0.91772632,0.4937908
-2.9531821,0.20790145,0.3972133,0.91772632,0.4937908,4.97157951,-2.95214259,0.21022074,0.39947791,0.91674282,0.50029637
-2.95214259,0.21022074,0.39947791,0.91674282,0.50029637,4.97758637,-2.95109149,0.21253927,0.40176987,0.91574067,0.50684469
